"Coeficiente","Estimativa","Erro_Padrao","t_valor","p_valor","IC_2_5","IC_97_5"
"Alfa (α)",0.0000775434850265658,0.000727353259744287,0.106610486703294,0.915136802155266,-0.00135118102246758,0.00150626799252072
"Beta (β)",0.586722080616074,0.0777068755619434,7.5504525998909,0.000000000000181074138944065,0.434084120960571,0.739360040271576
