"Metrica","Valor"
"R²",0.0937639132029637
"R² Ajustado",0.0921192016116806
"F-statistic",57.0093344631991
"p-valor F",0.000000000000181077375316363
"AIC",-2926.48645834095
"BIC",-2913.54038433638
