"Fonte","SQ","GL","QM","F","p_valor"
"Entre Grupos",0.0000391543100304406,2,0.0000195771550152203,0.0506746302923232,0.950589189378062
"Intra Grupos",0.738663906834103,1912,0.000386330495206121,NA,NA
