"symbol","N","Media","Mediana","DP","Min","Max","Q1","Q3"
"BTC-USD",809,0.000578427200143385,0.000286084831133253,0.0258309019916326,-0.152334408030448,0.118003181433477,-0.0126172785632791,0.0129645478634577
"HGLG11",553,0.000258217566241981,0.0000610056820390239,0.00627113136853273,-0.0223567515540184,0.0468476192988879,-0.00246496170794414,0.00316328836208564
"WEGE3",553,0.000566398313198046,0.0002731921192276,0.01794865219201,-0.122748749837823,0.0995433006899267,-0.00791416899692794,0.00945496540397842
