"symbol","date","retorno_log","retorno_simples"
"WEGE3",2024-01-03,0.00762710473454731,0.00765626518732776
"WEGE3",2024-01-04,-0.0133861356522387,-0.0132969397779852
"WEGE3",2024-01-05,-0.0107839118957391,-0.0107259739707033
"WEGE3",2024-01-08,0.00249898940235989,0.00250211447901205
"WEGE3",2024-01-09,-0.0249908734643393,-0.0246811867303562
"WEGE3",2024-01-10,0.00425597947475212,0.00426504901742808
"WEGE3",2024-01-11,-0.0142574140283634,-0.0141562584107803
"WEGE3",2024-01-12,-0.00431734386380192,-0.00430803753247733
"WEGE3",2024-01-15,-0.0101462876917104,-0.0100949877626287
"WEGE3",2024-01-16,-0.0209045548118452,-0.0206875692318438
"WEGE3",2024-01-17,-0.00626793784696153,-0.00624833530176327
"WEGE3",2024-01-18,-0.00781508407672382,-0.00778462570372296
"WEGE3",2024-01-19,0.0102074988693591,0.0102597730975873
"WEGE3",2024-01-22,-0.00299132165802624,-0.00298685211312155
"WEGE3",2024-01-23,0.0116157481563005,0.0116834729295281
"WEGE3",2024-01-24,-0.0089230582172971,-0.00888336588006944
"WEGE3",2024-01-25,-0.00659490763843547,-0.00657320896151581
"WEGE3",2024-01-26,-0.0024089220513316,-0.00240602292699565
"WEGE3",2024-01-29,0.00240892205133164,0.00241182583525124
"WEGE3",2024-01-30,-0.00785022994223841,-0.00781949735902865
"WEGE3",2024-01-31,-0.0198997832102887,-0.0197030894064961
"WEGE3",2024-02-01,0.0089273415230788,0.0089673090825646
"WEGE3",2024-02-02,-0.00122659031244234,-0.00122583835802315
"WEGE3",2024-02-05,0.0203499927298404,0.0205584655707651
"WEGE3",2024-02-06,-0.000601552042113201,-0.000601371145958152
"WEGE3",2024-02-07,0.011664510161012,0.0117328058465778
"WEGE3",2024-02-08,0.00504237706782536,0.00505511124558433
"WEGE3",2024-02-09,-0.0128034977712051,-0.0127218816887226
"WEGE3",2024-02-14,0.00478322195135621,0.00479467981869752
"WEGE3",2024-02-15,-0.00958955671613969,-0.00954372354074817
"WEGE3",2024-02-16,0.00570489112613797,0.00572119500672796
"WEGE3",2024-02-19,0.00269114119928581,0.00269476557026516
"WEGE3",2024-02-20,0.0230231760444916,0.02329025509288
"WEGE3",2024-02-21,0.0665974323329854,0.0688651010223775
"WEGE3",2024-02-22,-0.0321803842039019,-0.031668105453675
"WEGE3",2024-02-23,0.0142760135120956,0.0143784024480731
"WEGE3",2024-02-26,0.0245802408438583,0.0248848254311289
"WEGE3",2024-02-27,0.0106078765595056,0.0106643395562758
"WEGE3",2024-02-28,-0.00135359342799439,-0.00135267773361614
"WEGE3",2024-02-29,-0.00597847333272552,-0.00596063782177336
"WEGE3",2024-03-01,0.0162213026730737,0.0163535822845844
"WEGE3",2024-03-04,-0.00403088832968854,-0.00402277520402061
"WEGE3",2024-03-05,0.00777799088117553,0.00780831802935289
"WEGE3",2024-03-06,-0.00804709802421811,-0.00801480680583233
"WEGE3",2024-03-07,-0.00621383874642614,-0.00619457277630853
"WEGE3",2024-03-08,0.000541826079589051,0.000541972893854048
"WEGE3",2024-03-11,0.00647966464847999,0.00650070309159645
"WEGE3",2024-03-12,0.0120369342567506,0.0121096696941572
"WEGE3",2024-03-13,0.010842520377924,0.0109015135206627
"WEGE3",2024-03-14,-0.00606783049315047,-0.00604945838809234
"WEGE3",2024-03-15,0.00554157770704069,0.00555696065091493
"WEGE3",2024-03-18,0,0
"WEGE3",2024-03-19,0.0198024991713734,0.0199998693127059
"WEGE3",2024-03-20,0.00180440586392898,0.00180603478378671
"WEGE3",2024-03-21,0.0153338200181671,0.0154519862436553
"WEGE3",2024-03-22,0.00783138431291136,0.00786212981056944
"WEGE3",2024-03-25,-0.0163169297587931,-0.0161845297590282
"WEGE3",2024-03-26,-0.00668202640825819,-0.00665975131167373
"WEGE3",2024-03-27,-0.00594863963761863,-0.00593098151214144
"WEGE3",2024-03-28,-0.00912049648502547,-0.00907903091490847
"WEGE3",2024-04-01,-0.00551258048294053,-0.00549741409259685
"WEGE3",2024-04-02,0.00472679015377673,0.0047379790485953
"WEGE3",2024-04-03,-0.00736282867899161,-0.00733578945832747
"WEGE3",2024-04-04,0.00552719757403263,0.00554250071204176
"WEGE3",2024-04-05,-0.00289115904881769,-0.00288698367335571
"WEGE3",2024-04-08,0.00551258048294053,0.00552780271313313
"WEGE3",2024-04-09,0.0155844765222436,0.0157065477910057
"WEGE3",2024-04-10,-0.0103623712710336,-0.010308866872149
"WEGE3",2024-04-11,-0.00417562784400696,-0.00416692203168723
"WEGE3",2024-04-12,-0.0068224027816055,-0.00679918302659632
"WEGE3",2024-04-15,-0.00899243382807403,-0.00895212281685787
"WEGE3",2024-04-16,0.0295795158189613,0.0300213352057028
"WEGE3",2024-04-17,-0.0142877810235189,-0.0141861950683597
"WEGE3",2024-04-18,0.00989317962245361,0.00994227890640986
"WEGE3",2024-04-19,-0.00129605873039391,-0.00129521920900644
"WEGE3",2024-04-22,-0.00728977285508961,-0.00726326690750323
"WEGE3",2024-04-23,-0.00734330411287629,-0.0073164079311111
"WEGE3",2024-04-24,0.0062974348659527,0.00631730539812692
"WEGE3",2024-04-25,0.0114436810040824,0.0115094104110454
"WEGE3",2024-04-26,0.014122787403264,0.014222985099885
"WEGE3",2024-04-29,0.00356303102772257,0.00356938616838764
"WEGE3",2024-04-30,0.00481569981434537,0.00482731393258118
"WEGE3",2024-05-02,-0.0178575498105718,-0.0176990486510841
"WEGE3",2024-05-03,-0.00206134720537023,-0.0020592240882974
"WEGE3",2024-05-06,-0.0036175612448243,-0.00361102575336636
"WEGE3",2024-05-07,0.00696517437911616,0.00698948762206109
"WEGE3",2024-05-08,0.00487250672617795,0.00488439669054297
"WEGE3",2024-05-09,-0.00487250672617802,-0.00486065532177549
"WEGE3",2024-05-10,0.00179791385249011,0.00179953106866049
"WEGE3",2024-05-13,0.00281855553368396,0.00282253139585076
"WEGE3",2024-05-14,0.0134707995314868,0.0135619395345847
"WEGE3",2024-05-15,0.000252406688845023,0.000252438546093581
"WEGE3",2024-05-16,-0.00050497974612307,-0.000504852265310385
"WEGE3",2024-05-17,0.00100970461640377,0.0010102145397195
"WEGE3",2024-05-20,0.00528362447272435,0.00529760743256458
"WEGE3",2024-05-21,-0.00226112442098382,-0.00225857000480723
"WEGE3",2024-05-22,-0.0121458237636151,-0.0120723609690112
"WEGE3",2024-05-23,-0.0063846327647727,-0.00636429430455521
"WEGE3",2024-05-24,-0.0178370058999761,-0.0176788681408689
"WEGE3",2024-05-27,0.000260660488011971,0.000260694462908884
"WEGE3",2024-05-28,-0.00313401395593949,-0.00312910806058786
"WEGE3",2024-05-29,-0.0131647800389596,-0.0130785033417916
"WEGE3",2024-05-31,-0.00478226062756278,-0.00477084382583215
"WEGE3",2024-06-03,-0.00560816414400632,-0.00559246774783673
"WEGE3",2024-06-04,0.0122438248426437,0.0123190873192289
"WEGE3",2024-06-05,-0.00690187525322497,-0.00687811201395327
"WEGE3",2024-06-06,0.00716658150394529,0.00719232290504612
"WEGE3",2024-06-07,0.00105715836484688,0.00105771735371363
"WEGE3",2024-06-10,-0.0010571583648468,-0.0010565997698011
