"symbol","nome","classe","N","Media","Mediana","Desvio_Padrao","Assimetria","Curtose","Excesso_Curtose","Prop_Positivos","Retorno_Acumulado"
"WEGE3","WEG S.A.","Ação Brasileira",553,0.000566398313198047,0.0002731921192276,0.01794865219201,-0.781070191637105,8.13775211853203,5.13775211853203,0.508137432188065,0.367820048698221
"HGLG11","CSHG Logística FII","Fundo Imobiliário",553,0.000258217566241981,0.0000610056820390239,0.00627113136853273,0.731328409162949,7.02897143745915,4.02897143745915,0.502712477396022,0.153492520153668
"BTC-USD","Bitcoin","Criptomoeda",809,0.000578427200143387,0.000286084831133253,0.0258309019916326,0.0904708555142294,3.43739123589623,0.437391235896227,0.504326328800989,0.596713740544768
