"simulação","valor_final","retorno_percentual","drawdown_percentual"
1,13319.468150562,33.1946815056204,14.8610840398761
2,10022.4076605072,0.224076605071755,33.7976832468746
3,17104.2029545292,71.042029545292,12.1965790686344
4,9196.08436235172,-8.03915637648279,30.641833784362
5,8140.11179185961,-18.5988820814039,31.8023328599995
6,20745.8297356677,107.458297356677,14.895138755891
7,17198.5098589187,71.9850985891867,19.2186853051576
8,9959.96550571173,-0.400344942882724,33.0206395616416
9,11727.2965258517,17.2729652585172,23.7714645818287
10,9605.56091116861,-3.94439088831394,33.888052562882
11,11061.6065020964,10.6160650209641,23.3520755311893
12,10649.8764877998,6.49876487799792,30.8542462728269
13,13345.7201370241,33.4572013702408,23.0205656169531
14,11793.9242042451,17.9392420424512,16.7480401702928
15,11883.4147893203,18.8341478932028,18.1121990684049
16,11894.1912359138,18.941912359138,24.9818377646681
17,9956.26830100829,-0.437316989917147,24.107546399684
18,9169.36396477908,-8.3063603522092,35.2985612406062
19,10722.7468659718,7.22746865971831,20.3101258554778
20,9239.8410565896,-7.60158943410403,26.7762984742098
21,9994.55954594033,-0.0544045405966753,34.8639350560944
22,9213.0618439926,-7.86938156007398,28.8188232405918
23,16328.1318944025,63.2813189440246,16.7684647647261
24,14608.5792678543,46.0857926785433,18.6243821372381
25,15368.9229673159,53.6892296731594,16.277822314034
26,7951.27611792085,-20.4872388207915,30.5367360209253
27,12694.8466792696,26.9484667926956,16.6064829905266
28,9655.9524159691,-3.44047584030904,18.9259920012443
29,12373.9732892243,23.7397328922432,19.0228201107423
30,10565.2684419556,5.65268441955602,25.2625681097536
31,12873.3388120325,28.7333881203248,17.5269088672709
32,11134.499611889,11.34499611889,29.5412317934888
33,9753.25767354918,-2.46742326450823,22.4065398640598
34,10375.2048095207,3.75204809520686,21.1289882133778
35,7414.89699338117,-25.8510300661883,36.3576922743054
36,9763.41448604525,-2.36585513954749,17.7605695796581
37,15056.1074399545,50.5610743995446,25.7333798320573
38,8847.2236435207,-11.527763564793,28.7491560823701
39,16141.9329909698,61.4193299096976,14.9986842987236
40,8578.43896514295,-14.2156103485705,23.5212715938889
41,13347.4812352938,33.4748123529384,13.9670852141419
42,16604.5487318413,66.045487318413,14.0483851371483
43,12046.4180925388,20.4641809253879,16.8523420578187
44,11601.0525888073,16.0105258880732,12.7111649170265
45,7991.4148954526,-20.085851045474,38.7106168718222
46,11333.0377071672,13.3303770716721,21.4602251173872
47,8940.33157584332,-10.5966842415668,24.2111027851811
48,11613.1196273962,16.131196273962,22.2988073835219
49,10982.0947879511,9.82094787951122,21.0201920820014
50,11240.9681933525,12.4096819335247,18.2853434042998
51,8697.97437755648,-13.0202562244352,32.3888822478307
52,9815.6096706602,-1.84390329339797,22.3877616240883
53,9740.46518378555,-2.59534816214455,29.1888480776168
54,10430.3775858928,4.30377585892783,23.8735936597362
55,17083.2370031279,70.8323700312789,16.7978752647201
56,13874.0099809817,38.7400998098174,26.2536900925572
57,10902.4761509765,9.02476150976497,17.1779758927007
58,11309.1453921731,13.0914539217313,29.6160416993134
59,16098.0392756972,60.9803927569716,7.70558739866666
60,15598.0959682622,55.9809596826221,15.9798489495693
61,15327.9953457124,53.2799534571238,18.0327768712648
62,12770.010305064,27.7001030506399,11.0324835046047
63,7404.59827632696,-25.9540172367304,32.5288151666683
64,19957.648576073,99.5764857607305,13.7579292338374
65,8105.12853779103,-18.9487146220897,26.5754664395205
66,13053.069963619,30.5306996361902,14.2641380002057
67,11610.3814423574,16.1038144235738,14.5219424955204
68,9181.26728281546,-8.1873271718454,27.255982872817
69,10556.2836485773,5.56283648577338,16.7031644364789
70,25223.5503936379,152.235503936379,15.1175730308182
71,10591.4786740862,5.91478674086192,29.6387088910442
72,13035.8857324618,30.3588573246184,26.4075618170776
73,18932.0183915396,89.3201839153955,12.5032325447909
74,10440.3093042307,4.40309304230708,20.5379751277602
75,8931.18987998567,-10.6881012001433,39.2813827785188
76,13863.9093319393,38.6390933193926,11.8645022473995
77,7910.80666731721,-20.8919333268279,43.9359465807713
78,14329.6730174858,43.2967301748579,16.2233143659711
79,9483.26939698479,-5.16730603015206,24.2095854019778
80,9223.7347081838,-7.76265291816196,22.7314561931365
81,14979.2298870944,49.7922988709436,11.5303774199981
82,20183.8506501074,101.838506501074,13.8151694869872
83,12437.0846587355,24.3708465873547,21.2898100629779
84,6991.02945256296,-30.0897054743704,40.9329756168002
85,12678.6867665479,26.7868676654787,25.2858614527856
86,17934.7439241314,79.3474392413141,21.4487285586023
87,7354.50250499285,-26.4549749500715,33.6791217620621
88,13716.8695160339,37.1686951603387,12.9762299464792
89,9635.17666884781,-3.64823331152193,24.4765989629919
90,9843.54145800447,-1.56458541995531,20.8909826256036
91,14531.9868565931,45.3198685659312,12.5579244842863
92,14867.3465873273,48.6734658732733,13.0654547790169
93,8745.25945642759,-12.5474054357241,31.8647834028556
94,16941.6864086233,69.4168640862328,15.5654076471353
95,12136.2500867873,21.3625008678728,21.3033429499623
96,5572.28290862327,-44.2771709137673,50.0053565439877
97,16081.3151545792,60.813151545792,14.2173279915505
98,17298.1852436645,72.9818524366448,17.5827811653286
99,18759.0522289617,87.5905222896166,13.1830364164608
100,5629.02058675652,-43.7097941324348,50.7527439933854
101,8596.89128859364,-14.0310871140636,35.4373638064063
102,12421.4433892191,24.2144338921908,21.15402500805
103,13983.3359148581,39.8333591485809,24.3611061521457
104,16533.8447877644,65.338447877644,9.36106200957022
105,8971.78780321647,-10.2821219678353,30.7931017649247
106,7834.57815189007,-21.6542184810993,43.5626322307843
107,13691.948939847,36.9194893984696,19.4901378069544
108,13329.5325649752,33.2953256497522,24.919687291953
109,19903.53222957,99.0353222956998,17.2089494899464
110,14006.4446193895,40.0644461938955,13.8805020946953
111,11774.3261381875,17.7432613818752,17.5003038310337
112,11043.2659511916,10.4326595119156,17.5461396097784
113,9021.89053069353,-9.78109469306467,21.3728356951998
114,12813.3311098115,28.1333110981147,25.1685143087729
115,14372.2690461991,43.7226904619911,13.2115496336411
116,14005.0853399452,40.0508533994516,15.4348891674445
117,12376.1998804107,23.7619988041072,17.0577837906831
118,12378.0538406957,23.7805384069566,16.2867694948465
119,11148.9013718859,11.4890137188592,16.8781041634157
120,9963.29642238763,-0.36703577612367,17.1122631277275
121,19457.0783529853,94.5707835298527,14.712576797065
122,11425.3041064148,14.2530410641484,31.8659734258352
123,9119.47272219517,-8.80527277804834,26.3849421529353
124,11147.9422222577,11.4794222225774,24.6276439200835
125,10907.1291299117,9.07129129911688,20.6743776773904
126,10137.0483427018,1.370483427018,18.0158642637629
127,14676.2963009504,46.7629630095042,24.6476050788071
128,11667.8337233876,16.6783372338762,38.9383158192367
